citizenship_status,agegroup,sex,province,education,cps19_v_likely,cps19_votechoice
Canadian citizen,21 to 30,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Green Party
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,20 or less,Male,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,ndp
Canadian citizen,21 to 30,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,20 or less,Male,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Green Party
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Green Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,ndp
Canadian citizen,20 or less,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,21 to 30,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,20 or less,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,20 or less,Male,Ontario,University certificate or diploma below the bachelor's level,Likely to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,Less than high school diploma or its equivalent,Certain to vote,Liberal Party
Canadian citizen,20 or less,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,21 to 30,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Green Party
Canadian citizen,20 or less,Male,Ontario,Less than high school diploma or its equivalent,Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
