caseid,citizenship_status,age,sex,province,education,agegroup,citizenship
1,Canadian citizen,52.7,Female,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
2,Canadian citizen,51.1,Male,Manitoba,Trade certificate or diploma,51 to 60,Canadian citizen
3,Canadian citizen,63.6,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
4,Canadian citizen,80,Female,Alberta,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
5,Canadian citizen,28,Male,Quebec,Trade certificate or diploma,21 to 30,Canadian citizen
6,Canadian citizen,63,Female,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7,Canadian citizen,58.8,Female,Nova Scotia,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
8,Canadian citizen,80,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
9,Canadian citizen,63.8,Female,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
10,Canadian citizen,25.2,Male,Saskatchewan,Less than high school diploma or its equivalent,21 to 30,Canadian citizen
11,Canadian citizen,15.7,Male,British Columbia,Less than high school diploma or its equivalent,20 or less,Canadian citizen
12,Canadian citizen,40.3,Female,Manitoba,University certificate or diploma below the bachelor's level,41 to 50,Canadian citizen
13,Canadian citizen,56.8,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
14,Canadian citizen,26.8,Female,Quebec,Trade certificate or diploma,21 to 30,Canadian citizen
15,Canadian citizen,66.8,Female,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
16,Other,30.6,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Other
17,Canadian citizen,68.8,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
18,Canadian citizen,33.8,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
19,Canadian citizen,73.2,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
20,Canadian citizen,39.1,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
21,Canadian citizen,64.8,Male,Ontario,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
22,Other,25.5,Male,Manitoba,Trade certificate or diploma,21 to 30,Other
23,Canadian citizen,49.4,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
24,Canadian citizen,16.3,Male,Saskatchewan,Less than high school diploma or its equivalent,20 or less,Canadian citizen
25,Canadian citizen,63.5,Female,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
26,Canadian citizen,78.4,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
27,Canadian citizen,30.8,Female,Ontario,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
28,Other,19.1,Female,Saskatchewan,Less than high school diploma or its equivalent,20 or less,Other
29,Permanent resident,40.8,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
30,Permanent resident,43.9,Male,Alberta,High school diploma or a high school equivalency certificate,41 to 50,Permanent resident
31,Canadian citizen,40.7,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
32,Canadian citizen,80,Male,Manitoba,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
33,Canadian citizen,16.8,Male,Alberta,Less than high school diploma or its equivalent,20 or less,Canadian citizen
34,Canadian citizen,80,Female,Quebec,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
35,Canadian citizen,71.4,Male,Ontario,University certificate or diploma below the bachelor's level,71 to 80,Canadian citizen
36,Canadian citizen,71.6,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
37,Permanent resident,29.6,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Permanent resident
38,Canadian citizen,74.9,Female,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Canadian citizen
39,Canadian citizen,18.6,Male,Alberta,Less than high school diploma or its equivalent,20 or less,Canadian citizen
40,Canadian citizen,54.3,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
41,Canadian citizen,80,Male,British Columbia,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
42,Canadian citizen,37,Female,Quebec,University certificate or diploma below the bachelor's level,31 to 40,Canadian citizen
43,Canadian citizen,27.3,Female,Nova Scotia,Trade certificate or diploma,21 to 30,Canadian citizen
44,Canadian citizen,68.9,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
45,Canadian citizen,53.6,Female,Prince Edward Island,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
46,Canadian citizen,63.4,Male,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
47,Canadian citizen,34.5,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
48,Canadian citizen,36.2,Male,Quebec,Trade certificate or diploma,31 to 40,Canadian citizen
49,Canadian citizen,80,Female,Nova Scotia,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
50,Canadian citizen,69.4,Male,Ontario,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
51,Canadian citizen,26.8,Female,British Columbia,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
52,Permanent resident,60.6,Male,Ontario,"University certificate, diploma or degree above the bach...",61 to 70,Permanent resident
53,Other,51.9,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Other
54,Canadian citizen,61.5,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
55,Canadian citizen,47.5,Female,Prince Edward Island,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
